model,layer,region,test_R_2,test_R_2,test_R_2,electrode
GPT,last,G_rectus,0.23297821096488194,0.10895369660053168,3,3
GPT,last,G_temp_sup-G_T_transv,0.2587741867222434,,1,1
GPT,last,G_temp_sup-Lateral,0.1714681487480551,0.043756032453877526,5,5
GPT,last,G_temporal_inf,0.21500206138773825,0.11161006830095882,3,3
GPT,last,G_temporal_middle,0.20370921991134525,0.04019755415334766,7,7
GPT,last,Hippocampus,0.21949801005268213,0.09561178406497306,4,4
GPT,last,Inf-Lat-Vent,0.18899963530657438,,1,1
GPT,last,Lat_Fis-ant-Horizont,0.29648713669572035,,1,1
GPT,last,Lat_Fis-ant-Vertical,0.10349919479785863,,1,1
GPT,last,Lat_Fis-post,0.23053486266690415,0.005443642228292457,2,2
GPT,last,Lateral-Ventricle,0.214787965981304,,1,1
GPT,last,Pole_temporal,0.20514703998536038,0.08683275600872671,13,13
GPT,last,S_calcarine,0.29648713669572035,,1,1
GPT,last,S_central,0.2587741867222434,,1,1
GPT,last,S_cingul-Marginalis,0.1244448174758146,,1,1
GPT,last,S_circular_insula_inf,0.13531341763092777,0.0467586296911213,3,3
GPT,last,S_circular_insula_sup,0.16376612279419525,0.06334817756619664,10,10
GPT,last,S_collat_transv_ant,0.1950125623226812,0.07764734520786161,7,7
GPT,last,S_front_inf,0.1822148794747231,0.045853671517866595,5,5
GPT,last,S_front_sup,0.22861024449991463,0.003849236333979042,4,4
GPT,last,S_interm_prim-Jensen,0.23410749633905847,,1,1
GPT,last,S_oc-temp_lat,0.19708199809007731,,1,1
GPT,last,S_orbital-H_Shaped,0.21919593906003518,0.07941888389278079,6,6
GPT,last,S_orbital_lateral,0.3267190233840521,,1,1
GPT,last,S_orbital_med-olfact,0.16722790163122803,0.042220068104499256,2,2
GPT,last,S_pericallosal,0.2285159799535833,0.10126470120341531,3,3
GPT,last,S_postcentral,0.12407136928289098,0.0005281354992763075,2,2
GPT,last,S_precentral-inf-part,0.21783748515038456,0.08841046452394177,4,4
GPT,last,S_precentral-sup-part,0.13253366092054794,0.03858092563953351,4,4
GPT,last,S_temporal_inf,0.2415102932641989,0.04807735566338236,5,5
GPT,last,S_temporal_sup,0.18708067508900425,0.05651351257499864,9,9
GPT,late,Amygdala,0.16501778881284318,0.042006718991869356,6,6
GPT,late,G_and_S_cingul-Ant,0.22382956048221922,0.07965049902004474,7,7
GPT,late,G_and_S_cingul-Mid-Ant,0.16315223505124277,,1,1
GPT,late,G_and_S_cingul-Mid-Post,0.33197494534898575,,1,1
GPT,late,G_and_S_subcentral,0.11785320945247346,,1,1
GPT,late,G_front_inf-Opercular,0.16702817208411294,0.07328417866615053,3,3
GPT,late,G_front_inf-Triangul,0.2289731794141049,,1,1
GPT,late,G_front_middle,0.29231237249462405,0.05269482159988127,2,2
GPT,late,G_insular_short,0.17804407150319884,0.021060237078998314,2,2
GPT,late,G_oc-temp_lat-fusifor,0.2249140774007296,0.15140693145185882,2,2
GPT,late,G_oc-temp_med-Parahip,0.32957323818131545,,1,1
GPT,late,G_orbital,0.14771186730185537,0.06395645163720842,2,2
GPT,late,G_pariet_inf-Angular,0.20548322185897458,0.06922740470438075,3,3
GPT,late,G_pariet_inf-Supramar,0.16315223505124277,,1,1
GPT,late,G_postcentral,0.24669537742067993,,1,1
GPT,late,G_precentral,0.2668309818457272,0.05776050484480484,3,3
GPT,late,G_precuneus,0.1519013121831031,,1,1
GPT,late,G_rectus,0.23495988720313063,0.10846559053262923,3,3
GPT,late,G_temp_sup-G_T_transv,0.25505150680793265,,1,1
GPT,late,G_temp_sup-Lateral,0.19454590442632333,0.036931300216657525,3,3
GPT,late,G_temporal_inf,0.2172313859987708,0.16227189782803617,2,2
GPT,late,G_temporal_middle,0.1919331894268944,0.06415514456969103,3,3
GPT,late,Hippocampus,0.22061254669015729,0.09713748268239217,4,4
GPT,late,Inf-Lat-Vent,0.19293590795515492,,1,1
GPT,late,Lat_Fis-ant-Horizont,0.32957323818131545,,1,1
GPT,late,Lat_Fis-ant-Vertical,0.10248782664855582,,1,1
GPT,late,Lat_Fis-post,0.2378342784173924,0.012531486387979926,2,2
GPT,late,Pole_temporal,0.21361127702304766,0.08463957413611138,13,13
GPT,late,S_calcarine,0.32957323818131545,,1,1
GPT,late,S_central,0.25505150680793265,,1,1
GPT,late,S_cingul-Marginalis,0.12047111419810508,,1,1
GPT,late,S_circular_insula_inf,0.1377589813520614,0.048398281676110246,3,3
GPT,late,S_circular_insula_sup,0.16186518559873975,0.0750217558664043,9,9
GPT,late,S_collat_transv_ant,0.191583760695965,0.07555522695769057,8,8
GPT,late,S_front_inf,0.16278654751962188,0.05222022409005014,3,3
GPT,late,S_front_sup,0.23340372891574865,0.008861099003287519,4,4
GPT,late,S_interm_prim-Jensen,0.2350099660235322,,1,1
GPT,late,S_oc-temp_lat,0.21586820054793343,,1,1
GPT,late,S_oc_middle_and_Lunatus,0.1519013121831031,,1,1
GPT,late,S_orbital-H_Shaped,0.23731408191035436,0.09783371148272799,5,5
GPT,late,S_orbital_lateral,0.33197494534898575,,1,1
GPT,late,S_orbital_med-olfact,0.17697391592742642,0.03414996117789833,3,3
GPT,late,S_pericallosal,0.23304714565592358,0.1064104004343722,3,3
GPT,late,S_postcentral,0.12342965347178197,0.004184006365647313,2,2
GPT,late,S_precentral-inf-part,0.2251765803432312,0.08776396017274322,4,4
GPT,late,S_precentral-sup-part,0.14129456405982183,0.04014470276139054,4,4
GPT,late,S_temporal_inf,0.25132789278245016,0.0541446410321996,4,4
GPT,late,S_temporal_sup,0.1982109949445972,0.05495280490028277,8,8
GPT,middle,Amygdala,0.1765147202247463,0.03274866832880582,5,5
GPT,middle,G_and_S_cingul-Ant,0.21410732571439187,0.06656842440211824,7,7
GPT,middle,G_and_S_cingul-Mid-Ant,0.16186907051358546,,1,1
GPT,middle,G_and_S_subcentral,0.11761758387036647,,1,1
GPT,middle,G_front_inf-Opercular,0.19882749215021417,0.06671880003349148,2,2
GPT,middle,G_front_inf-Triangul,0.231210082739573,,1,1
GPT,middle,G_front_middle,0.2769300787307839,0.028969827894558563,2,2
GPT,middle,G_insular_short,0.17737383234435156,0.02192704446243412,2,2
GPT,middle,G_oc-temp_lat-fusifor,0.11761758387036647,,1,1
GPT,middle,G_oc-temp_med-Parahip,0.29741484048483346,,1,1
GPT,middle,G_orbital,0.19287859417511766,,1,1
GPT,middle,G_pariet_inf-Angular,0.2059576138991128,0.0697805657892734,3,3
GPT,middle,G_pariet_inf-Supramar,0.16186907051358546,,1,1
GPT,middle,G_postcentral,0.24600480808652525,,1,1
GPT,middle,G_precentral,0.25366522478245285,0.045203824526600565,3,3
GPT,middle,G_precuneus,0.1516501762139031,,1,1
GPT,middle,G_rectus,0.1870314504235504,0.09816603149626889,2,2
GPT,middle,G_temp_sup-G_T_transv,0.25644531697673434,,1,1
GPT,middle,G_temp_sup-Lateral,0.18864040332849488,0.03203447637299246,3,3
GPT,middle,G_temporal_middle,0.19334591644983748,0.06558265980005865,3,3
GPT,middle,Hippocampus,0.224661955575926,0.044948460750828687,2,2
GPT,middle,Inf-Lat-Vent,0.19287859417511766,,1,1
GPT,middle,Lat_Fis-ant-Horizont,0.29741484048483346,,1,1
GPT,middle,Lat_Fis-post,0.23860744541304912,0.010461450618622435,2,2
GPT,middle,Pole_temporal,0.175641769630621,0.05780889585828263,10,10
GPT,middle,S_calcarine,0.29741484048483346,,1,1
GPT,middle,S_central,0.25644531697673434,,1,1
GPT,middle,S_cingul-Marginalis,0.12069637129125566,,1,1
GPT,middle,S_circular_insula_inf,0.15524808902274206,0.053217570745440194,2,2
GPT,middle,S_circular_insula_sup,0.18624056093211627,0.06493688086353623,6,6
GPT,middle,S_collat_transv_ant,0.19996550600865687,0.03311822338998859,5,5
GPT,middle,S_front_inf,0.19287859417511766,0.0,2,2
GPT,middle,S_front_sup,0.23490876407631106,0.007397362673476129,4,4
GPT,middle,S_interm_prim-Jensen,0.2350973190693897,,1,1
GPT,middle,S_oc-temp_lat,0.2071355168857908,,1,1
GPT,middle,S_oc_middle_and_Lunatus,0.1516501762139031,,1,1
GPT,middle,S_orbital-H_Shaped,0.224724309090312,0.08327017741744293,5,5
GPT,middle,S_orbital_med-olfact,0.17355158787109312,0.029529928313919245,3,3
GPT,middle,S_pericallosal,0.18335058968889045,0.08860644539782102,2,2
GPT,middle,S_postcentral,0.123513288471235,0.003983722480008554,2,2
GPT,middle,S_precentral-inf-part,0.18661680660851565,0.06136884510230106,3,3
GPT,middle,S_precentral-sup-part,0.15404878475312908,0.037687795242177566,3,3
GPT,middle,S_temporal_inf,0.22589310337132892,0.009209278408594227,3,3
GPT,middle,S_temporal_sup,0.2114724454624847,0.0427659984313847,7,7
T5,early,Amygdala,0.18472683627970005,0.03347124443828064,8,8
T5,early,G_and_S_cingul-Ant,0.2058547786535594,0.05556146900666614,12,12
T5,early,G_and_S_cingul-Mid-Ant,0.1845053427557134,0.008036507151514067,2,2
T5,early,G_and_S_cingul-Mid-Post,0.2542614593937125,0.10668655335945187,2,2
T5,early,G_and_S_subcentral,0.1923032783538331,,1,1
T5,early,G_cingul-Post-dorsal,0.16810118999932278,,1,1
T5,early,G_front_inf-Opercular,0.1524783358595127,0.056320973796196494,2,2
T5,early,G_front_middle,0.20800919158358375,0.0850016317845232,4,4
T5,early,G_front_sup,0.16810118999932278,,1,1
T5,early,G_insular_short,0.21826544399226358,0.0534550730558162,3,3
T5,early,G_oc-temp_lat-fusifor,0.32970024473560133,,1,1
T5,early,G_oc-temp_med-Parahip,0.3081623120982062,,1,1
T5,early,G_orbital,0.14573803370850796,0.04678874707975305,2,2
T5,early,G_pariet_inf-Angular,0.17560869660481965,0.04564388897468975,5,5
T5,early,G_pariet_inf-Supramar,0.18744383716184787,0.0038808485094012214,2,2
T5,early,G_precentral,0.25394014166470164,0.07668172880836761,2,2
T5,early,G_rectus,0.2647091079833992,0.09191134702900877,2,2
T5,early,G_temp_sup-G_T_transv,0.19129074277884112,0.011917900770538198,2,2
T5,early,G_temp_sup-Lateral,0.16961871528967476,0.06204147182833386,3,3
T5,early,G_temporal_inf,0.18735924486822877,0.08321425937979848,6,6
T5,early,G_temporal_middle,0.16736288732376525,0.05828526655556037,10,10
T5,early,Hippocampus,0.23049506674627143,0.0950741112672959,4,4
T5,early,Lat_Fis-ant-Horizont,0.3081623120982062,,1,1
T5,early,Lat_Fis-ant-Vertical,0.11265339336519231,,1,1
T5,early,Lat_Fis-post,0.1923032783538331,,1,1
T5,early,Lateral-Ventricle,0.16207824150246586,0.08577374880252338,2,2
T5,early,Pole_temporal,0.2532613353032426,0.07076602560970323,8,8
T5,early,S_calcarine,0.3081623120982062,,1,1
T5,early,S_central,0.19971797123119706,,1,1
T5,early,S_cingul-Marginalis,0.29974030769882753,,1,1
T5,early,S_circular_insula_inf,0.11265339336519231,,1,1
T5,early,S_circular_insula_sup,0.1949399170511625,0.08994480854262117,9,9
T5,early,S_collat_transv_ant,0.1834574263794524,0.10236351080350345,4,4
T5,early,S_front_inf,0.15219327187501114,0.06455331993397165,5,5
T5,early,S_front_middle,0.18469966286409256,,1,1
T5,early,S_front_sup,0.24817232605676087,0.05496893877070425,3,3
T5,early,S_interm_prim-Jensen,0.23500992530581033,,1,1
T5,early,S_intrapariet_and_P_trans,0.18286351432648518,,1,1
T5,early,S_orbital-H_Shaped,0.22183746125804155,0.06819002941858356,11,11
T5,early,S_orbital_lateral,0.2542614593937125,0.10668655335945187,2,2
T5,early,S_orbital_med-olfact,0.19018801145960318,,1,1
T5,early,S_pericallosal,0.29731446693515473,0.023527627027797676,4,4
T5,early,S_postcentral,0.1867307932864777,0.09800157319545619,3,3
T5,early,S_precentral-inf-part,0.2558603754365826,0.06429151027666695,4,4
T5,early,S_precentral-sup-part,0.11265339336519231,,1,1
T5,early,S_temporal_inf,0.22071785078591702,0.07931108583338785,6,6
T5,early,S_temporal_sup,0.1731331676383268,0.037410845322581106,10,10
T5,last,G_and_S_cingul-Ant,0.1136411852771458,0.020961731235670075,3,3
T5,last,G_front_middle,0.10603485907159182,0.006358212204522216,2,2
T5,last,G_front_sup,0.11053079403763255,,1,1
T5,last,G_oc-temp_lat-fusifor,0.29580778248176387,,1,1
T5,last,G_oc-temp_med-Parahip,0.1015389241055511,,1,1
T5,last,G_occipital_middle,0.1378457076203352,,1,1
T5,last,G_pariet_inf-Angular,0.11053079403763255,,1,1
T5,last,G_pariet_inf-Supramar,0.1378457076203352,,1,1
T5,last,G_precentral,0.1015389241055511,,1,1
T5,last,G_temp_sup-G_T_transv,0.11053079403763255,,1,1
T5,last,G_temp_sup-Lateral,0.1378457076203352,0.0,2,2
T5,last,Lat_Fis-ant-Horizont,0.1015389241055511,,1,1
T5,last,Lat_Fis-post,0.1378457076203352,,1,1
T5,last,Pole_temporal,0.29580778248176387,0.0,3,3
T5,last,S_calcarine,0.1015389241055511,,1,1
T5,last,S_circular_insula_inf,0.29580778248176387,,1,1
T5,last,S_circular_insula_sup,0.19867335329365748,0.1373688271311891,2,2
T5,last,S_orbital-H_Shaped,0.10453621408291158,0.0051914585258053285,3,3
T5,last,S_orbital_med-olfact,0.11053079403763255,,1,1
T5,last,S_pericallosal,0.11053079403763255,,1,1
T5,last,S_precentral-inf-part,0.18139476137991054,0.10002140108120601,3,3
T5,last,S_precentral-sup-part,0.29580778248176387,,1,1
T5,last,S_suborbital,0.11053079403763255,,1,1
T5,last,S_temporal_sup,0.29580778248176387,,1,1
T5,late,Amygdala,0.15270947292386702,0.042140705815411905,6,6
T5,late,G_and_S_cingul-Ant,0.1668532732286507,0.03129530507102348,7,7
T5,late,G_and_S_cingul-Mid-Ant,0.1605258920210571,0.025682672132765868,2,2
T5,late,G_and_S_cingul-Mid-Post,0.17868628364512662,,1,1
T5,late,G_and_S_subcentral,0.1926768041626049,,1,1
T5,late,G_cingul-Post-dorsal,0.16382127460630247,,1,1
T5,late,G_front_inf-Opercular,0.15222473080368798,0.057207870770291686,2,2
T5,late,G_front_inf-Triangul,0.2682260545640627,,1,1
T5,late,G_front_middle,0.21315730268739475,,1,1
T5,late,G_front_sup,0.16382127460630247,,1,1
T5,late,G_insular_short,0.2117339157189112,0.09810175374859398,2,2
T5,late,G_orbital,0.14522947054494884,0.04731507884005326,2,2
T5,late,G_pariet_inf-Angular,0.1814311049956948,0.05432156653667609,3,3
T5,late,G_pariet_inf-Supramar,0.1423655003969876,,1,1
T5,late,G_temp_sup-G_T_transv,0.1828637495585379,,1,1
T5,late,G_temp_sup-Lateral,0.21315730268739475,,1,1
T5,late,G_temporal_inf,0.17057563185560476,0.04243643809781804,4,4
T5,late,G_temporal_middle,0.22596544629147278,0.02982237942735055,7,7
T5,late,Hippocampus,0.19643749424280293,0.11973416045588138,2,2
T5,late,Lat_Fis-ant-Vertical,0.11177265744477105,,1,1
T5,late,Lat_Fis-post,0.2304514293633338,0.05342138727243129,2,2
T5,late,Lateral-Ventricle,0.21315730268739475,,1,1
T5,late,Pole_temporal,0.2128249661103627,0.0591299325332496,3,3
T5,late,S_cingul-Marginalis,0.25849353067240355,,1,1
T5,late,S_circular_insula_inf,0.11177265744477105,,1,1
T5,late,S_circular_insula_sup,0.17757705606108584,0.07396156070392454,6,6
T5,late,S_collat_transv_ant,0.18773674153255882,0.07839013642533733,5,5
T5,late,S_front_inf,0.17936242093985352,0.05853445222252349,3,3
T5,late,S_front_sup,0.27337656515477154,0.007052627083001242,5,5
T5,late,S_interm_prim-Jensen,0.2350221785104808,,1,1
T5,late,S_intrapariet_and_P_trans,0.1828637495585379,,1,1
T5,late,S_orbital-H_Shaped,0.21988763771309472,0.049490293053428294,5,5
T5,late,S_orbital_lateral,0.17868628364512662,,1,1
T5,late,S_orbital_med-olfact,0.1423655003969876,,1,1
T5,late,S_pericallosal,0.2735660642513577,0.013053196978768295,3,3
T5,late,S_postcentral,0.1924504587952346,0.09339900794947348,2,2
T5,late,S_precentral-inf-part,0.23160359773214742,0.05129353479673125,3,3
T5,late,S_precentral-sup-part,0.11177265744477105,,1,1
T5,late,S_temporal_inf,0.23746281200962352,0.04081740180489379,6,6
T5,late,S_temporal_sup,0.20193086640028857,0.07700233353555444,5,5
T5,middle,Amygdala,0.1803176176091813,0.033721477084935975,9,9
T5,middle,G_and_S_cingul-Ant,0.18184915164560986,0.02174138922481409,10,10
T5,middle,G_and_S_cingul-Mid-Ant,0.18460744554093317,0.008315022928774205,2,2
T5,middle,G_and_S_cingul-Mid-Post,0.1787278364422753,,1,1
T5,middle,G_and_S_subcentral,0.19267749846234827,,1,1
T5,middle,G_cingul-Post-dorsal,0.16750212455062496,,1,1
T5,middle,G_front_inf-Opercular,0.14116456348560139,0.04461317255895964,3,3
T5,middle,G_front_inf-Triangul,0.2872955877686819,,1,1
T5,middle,G_front_middle,0.20371190500661385,,1,1
T5,middle,G_front_sup,0.16750212455062496,,1,1
T5,middle,G_insular_short,0.19908200550096683,0.058140301329051604,4,4
T5,middle,G_orbital,0.14726052357263347,0.04450150063168491,2,2
T5,middle,G_pariet_inf-Angular,0.18123179656591573,0.05451835782950525,3,3
T5,middle,G_pariet_inf-Supramar,0.1873663247978189,0.004413378466736604,2,2
T5,middle,G_precuneus,0.11502298129146427,,1,1
T5,middle,G_rectus,0.11502298129146427,,1,1
T5,middle,G_temp_sup-G_T_transv,0.18268208851639434,,1,1
T5,middle,G_temp_sup-Lateral,0.1939787499813303,0.013764759841435836,2,2
T5,middle,G_temporal_inf,0.16924019714853902,0.03752736602134093,4,4
T5,middle,G_temporal_middle,0.2207952361227768,0.04164207656876691,8,8
T5,middle,Hippocampus,0.19788659130301622,0.1160975722256111,2,2
T5,middle,Lat_Fis-ant-Vertical,0.11579321070299164,,1,1
T5,middle,Lat_Fis-post,0.2071961622454063,0.07391733855338489,3,3
T5,middle,Lateral-Ventricle,0.20371190500661385,,1,1
T5,middle,Pole_temporal,0.18811465651976392,0.06821010174571517,4,4
T5,middle,S_cingul-Marginalis,0.2578154140595279,,1,1
T5,middle,S_circular_insula_ant,0.14161540050518873,,1,1
T5,middle,S_circular_insula_inf,0.13300800390445636,0.014908448233364097,3,3
T5,middle,S_circular_insula_sup,0.1787097085986702,0.06460990411471228,7,7
T5,middle,S_collat_transv_ant,0.1877534723151352,0.08047857823515518,6,6
T5,middle,S_front_inf,0.17440567357207312,0.05075988182299669,3,3
T5,middle,S_front_middle,0.16293049773061774,0.030144099579502842,2,2
T5,middle,S_front_sup,0.26768205034469567,0.04103216393995995,6,6
T5,middle,S_interm_prim-Jensen,0.23501053880399347,,1,1
T5,middle,S_intrapariet_and_P_trans,0.18268208851639434,,1,1
T5,middle,S_oc_middle_and_Lunatus,0.11502298129146427,,1,1
T5,middle,S_orbital-H_Shaped,0.17940540523105467,0.05310350311756454,11,11
T5,middle,S_orbital_lateral,0.1787278364422753,,1,1
T5,middle,S_orbital_med-olfact,0.19048705463959104,,1,1
T5,middle,S_pericallosal,0.27259178595520317,0.012796713437421203,3,3
T5,middle,S_postcentral,0.19190908821844366,0.09320561985064171,2,2
T5,middle,S_precentral-inf-part,0.20218533211019346,0.07136065600933328,4,4
T5,middle,S_precentral-sup-part,0.11579321070299164,,1,1
T5,middle,S_temporal_inf,0.22375748732921558,0.06529149500455803,7,7
T5,middle,S_temporal_sup,0.1972625662201942,0.05792641175477537,10,10
