condition,layer,model,n_subjects,n_subjects_with_signal,pct_subjects_with_signal,total_electrodes,total_significant,pct_electrodes_significant,mean_r2_across_subjects,std_r2_across_subjects,mean_significant_per_subject,subjects_with_signal
GNS,early,BERT,8,0,0.0,1206,0,0.0,-1973659163253.6863,5582351112345.335,0.0,[]
GNS,early,GPT,8,0,0.0,1206,0,0.0,-6797407174014.777,19225970828882.39,0.0,[]
GNS,early,T5,8,0,0.0,1206,0,0.0,-3604926665428.2065,10196272363172.379,0.0,[]
GNS,last,BERT,8,0,0.0,1206,0,0.0,-1562513352514.9387,4419455149024.638,0.0,[]
GNS,last,GPT,8,0,0.0,1206,0,0.0,-7112688196224.704,20117720224023.402,0.0,[]
GNS,last,T5,8,0,0.0,1206,0,0.0,-742972020053.7103,2101442214446.1733,0.0,[]
GNS,late,BERT,8,0,0.0,1206,0,0.0,-3259625163984.3506,9219612230307.15,0.0,[]
GNS,late,GPT,8,0,0.0,1206,0,0.0,-7730726384458.077,21865796199718.703,0.0,[]
GNS,late,T5,8,0,0.0,1206,0,0.0,-2685088731170.3394,7594577798968.039,0.0,[]
GNS,middle,BERT,8,0,0.0,1206,0,0.0,-2959118381877.964,8369650696629.782,0.0,[]
GNS,middle,GPT,8,0,0.0,1206,0,0.0,-6965671465684.629,19701894115565.965,0.0,[]
GNS,middle,T5,8,0,0.0,1206,0,0.0,-3442419419512.008,9736632460833.256,0.0,[]
GS,early,BERT,8,0,0.0,1206,0,0.0,-7081953.307877248,20030787.377115577,0.0,[]
GS,early,GPT,8,0,0.0,1206,0,0.0,-12740661.738583377,36035984.18472814,0.0,[]
GS,early,T5,8,0,0.0,1206,0,0.0,-9081764.044316128,25687093.920303784,0.0,[]
GS,last,BERT,8,0,0.0,1206,0,0.0,-13446295.611005424,38031865.40872803,0.0,[]
GS,last,GPT,8,0,0.0,1206,0,0.0,-7649533.976410687,21636142.541025534,0.0,[]
GS,last,T5,8,0,0.0,1206,0,0.0,-1933133.3773770712,5467726.40215501,0.0,[]
GS,late,BERT,8,0,0.0,1206,0,0.0,-30185906.39747002,85378633.57048616,0.0,[]
GS,late,GPT,8,0,0.0,1206,0,0.0,-4683565.598158968,13247058.54408298,0.0,[]
GS,late,T5,8,0,0.0,1206,0,0.0,-823113651.9944654,2328116961.785501,0.0,[]
GS,middle,BERT,8,0,0.0,1206,0,0.0,-16151209.676435484,45682517.267514594,0.0,[]
GS,middle,GPT,8,0,0.0,1206,0,0.0,-6396404.333250339,18091755.03362771,0.0,[]
GS,middle,T5,8,0,0.0,1206,0,0.0,-13465883.197101418,38087259.22403204,0.0,[]
NGNS,early,BERT,8,0,0.0,1206,0,0.0,-0.829101031157567,1.4640330286943821,0.0,[]
NGNS,early,GPT,8,0,0.0,1206,0,0.0,-14.049740885623924,26.699354156557497,0.0,[]
NGNS,early,T5,8,0,0.0,1206,0,0.0,-19.38865536396491,23.80927406241252,0.0,[]
NGNS,last,BERT,8,0,0.0,1206,0,0.0,-0.8169390846987821,1.366514950909317,0.0,[]
NGNS,last,GPT,8,0,0.0,1206,0,0.0,-9.588910418876624,17.304163886237415,0.0,[]
NGNS,last,T5,8,0,0.0,1206,0,0.0,-0.24836350106475744,0.3574005839437739,0.0,[]
NGNS,late,BERT,8,0,0.0,1206,0,0.0,-1.8386675768624863,3.0227016509373614,0.0,[]
NGNS,late,GPT,8,0,0.0,1206,0,0.0,-13.48963472015158,25.05895580395474,0.0,[]
NGNS,late,T5,8,0,0.0,1206,0,0.0,-41.905583581562595,74.40565735031602,0.0,[]
NGNS,middle,BERT,8,0,0.0,1206,0,0.0,-1.4780166743693446,2.5638073514903246,0.0,[]
NGNS,middle,GPT,8,0,0.0,1206,0,0.0,-13.16581085272363,25.49880338025862,0.0,[]
NGNS,middle,T5,8,0,0.0,1206,0,0.0,-19.819422784439165,22.882904956541495,0.0,[]
a,early,BERT,8,0,0.0,1206,0,0.0,-0.19162706599155288,0.21503912520682378,0.0,[]
a,early,GPT,8,0,0.0,1206,0,0.0,-3.397448098004327,4.828374626600065,0.0,[]
a,early,T5,8,0,0.0,1206,0,0.0,-4.20575431952285,4.485512001513821,0.0,[]
a,last,BERT,8,0,0.0,1206,0,0.0,-0.35918217627057225,0.5216362332028238,0.0,[]
a,last,GPT,8,0,0.0,1206,0,0.0,-2.2821591714612097,3.1549598755597326,0.0,[]
a,last,T5,8,0,0.0,1206,0,0.0,-0.08233028463375228,0.08712315880995207,0.0,[]
a,late,BERT,8,0,0.0,1206,0,0.0,-0.7543944512772164,1.1135601701818079,0.0,[]
a,late,GPT,8,0,0.0,1206,0,0.0,-3.1765245311486776,3.6929583491100257,0.0,[]
a,late,T5,8,0,0.0,1206,0,0.0,-123.90291458933451,322.0337875464191,0.0,[]
a,middle,BERT,8,0,0.0,1206,0,0.0,-0.5355262415637183,0.7441988364011646,0.0,[]
a,middle,GPT,8,0,0.0,1206,0,0.0,-3.0413701335718546,3.633606453882682,0.0,[]
a,middle,T5,8,0,0.0,1206,0,0.0,-4.936058665555194,5.51154651396754,0.0,[]
overall,early,BERT,8,0,0.0,1206,0,0.0,-0.1672471673463931,0.26348820504038334,0.0,[]
overall,early,GPT,8,0,0.0,1206,0,0.0,-3.8215061954861644,8.137030844137515,0.0,[]
overall,early,T5,8,0,0.0,1206,0,0.0,-4.953377740509903,11.268081234742155,0.0,[]
overall,last,BERT,8,0,0.0,1206,0,0.0,-0.2784495227157183,0.4497114246426256,0.0,[]
overall,last,GPT,8,0,0.0,1206,0,0.0,-2.99684720007927,6.2098253977182045,0.0,[]
overall,last,T5,8,0,0.0,1206,0,0.0,-0.06234390736325393,0.1037679649645725,0.0,[]
overall,late,BERT,8,0,0.0,1206,0,0.0,-0.49213339058018724,0.7852796661548408,0.0,[]
overall,late,GPT,8,0,0.0,1206,0,0.0,-9.157132416124032,22.75175765869244,0.0,[]
overall,late,T5,8,0,0.0,1206,0,0.0,-22.994110483751765,37.84716921086698,0.0,[]
overall,middle,BERT,8,0,0.0,1206,0,0.0,-0.3637618140790953,0.5820203538647054,0.0,[]
overall,middle,GPT,8,0,0.0,1206,0,0.0,-7.443010156645331,18.121027090978615,0.0,[]
overall,middle,T5,8,0,0.0,1206,0,0.0,-7.598940100181862,18.274420948056395,0.0,[]
v,early,BERT,8,0,0.0,1206,0,0.0,-43242507409385.484,122308280898728.55,0.0,[]
v,early,GPT,8,0,0.0,1206,0,0.0,-289099001790942.9,817695458402414.8,0.0,[]
v,early,T5,8,0,0.0,1206,0,0.0,-2531121121995052.0,7159091637468641.0,0.0,[]
v,last,BERT,8,0,0.0,1206,0,0.0,-32732167669466.055,92580550888037.31,0.0,[]
v,last,GPT,8,0,0.0,1206,0,0.0,-220961893987168.97,624974614488452.9,0.0,[]
v,last,T5,8,0,0.0,1206,0,0.0,-8706896394105.482,24626821933436.234,0.0,[]
v,late,BERT,8,0,0.0,1206,0,0.0,-75158649188309.73,212580762023458.62,0.0,[]
v,late,GPT,8,0,0.0,1206,0,0.0,-306990947919518.7,868301524146930.0,0.0,[]
v,late,T5,8,0,0.0,1206,0,0.0,-1997335485435665.5,5649317864224041.0,0.0,[]
v,middle,BERT,8,0,0.0,1206,0,0.0,-60366108942675.56,170741139948808.75,0.0,[]
v,middle,GPT,8,0,0.0,1206,0,0.0,-321990863502762.5,910727692251474.8,0.0,[]
v,middle,T5,8,0,0.0,1206,0,0.0,-2039172590067224.8,5767651065784891.0,0.0,[]
